z(cm)	  Dose(mGy)	(O14)Con.	(C10)Con.	(N13)Con.	(C11)Con.	(O15)Con.	tot.con.(1/cm3)
 14.0	 3.236e-02	    65.64	    26.17	     3.34	    11.59	     9.99	  116.82
 14.1	 3.241e-02	    67.45	    26.29	     3.12	    10.76	    11.24	  119.14
 14.2	 3.248e-02	    67.32	    27.34	     2.93	    12.83	    10.50	  121.09
 14.3	 3.255e-02	    68.75	    27.44	     3.02	    10.15	     9.61	  119.11
 14.4	 3.263e-02	    67.96	    25.27	     2.99	    11.65	     9.64	  117.55
 14.5	 3.270e-02	    65.25	    25.85	     3.41	    12.19	     9.26	  116.12
 14.6	 3.275e-02	    66.65	    27.22	     3.63	    11.11	    10.41	  119.21
 14.7	 3.283e-02	    65.57	    26.32	     3.53	    11.08	     9.84	  116.44
 14.8	 3.290e-02	    65.06	    25.40	     3.09	    12.00	     9.61	  115.26
 14.9	 3.296e-02	    62.55	    26.17	     3.18	    12.35	    10.41	  114.75
 15.0	 3.303e-02	    65.41	    26.90	     2.58	    12.00	     9.52	  116.60
 15.1	 3.310e-02	    65.60	    25.75	     2.93	    11.24	     9.90	  115.58
 15.2	 3.315e-02	    69.20	    26.55	     2.61	    10.98	     9.93	  119.33
 15.3	 3.326e-02	    67.93	    25.34	     4.07	    12.70	     9.87	  120.03
 15.4	 3.330e-02	    66.02	    26.10	     4.01	    11.65	     9.64	  117.52
 15.5	 3.341e-02	    63.38	    26.42	     2.45	    12.48	    11.01	  115.93
 15.6	 3.346e-02	    62.96	    25.78	     3.21	    11.27	    10.63	  114.02
 15.7	 3.356e-02	    63.82	    26.36	     3.15	    11.14	    10.79	  115.42
 15.8	 3.362e-02	    62.29	    26.10	     3.47	    11.87	     9.42	  113.19
 15.9	 3.370e-02	    66.94	    24.73	     2.61	    11.62	     9.61	  115.55
 16.0	 3.377e-02	    64.90	    28.20	     3.44	    10.89	    10.25	  117.81
 16.1	 3.385e-02	    67.23	    25.31	     3.37	    10.19	     9.42	  115.71
 16.2	 3.395e-02	    65.99	    25.81	     3.21	    11.24	     9.58	  115.86
 16.3	 3.403e-02	    64.46	    24.86	     3.47	    11.49	     8.66	  113.00
 16.4	 3.412e-02	    66.69	    25.59	     3.31	    10.41	     8.91	  115.13
 16.5	 3.419e-02	    68.05	    25.66	     3.69	    11.81	     9.87	  119.24
 16.6	 3.430e-02	    66.49	    25.97	     3.53	     9.68	    10.79	  116.57
 16.7	 3.437e-02	    67.20	    25.27	     2.36	    11.94	     9.26	  116.31
 16.8	 3.446e-02	    62.99	    24.76	     3.41	    10.76	     8.88	  110.93
 16.9	 3.454e-02	    66.14	    24.99	     3.76	    11.30	     9.20	  115.61
 17.0	 3.464e-02	    65.06	    26.42	     3.60	    10.47	     9.99	  115.83
 17.1	 3.472e-02	    64.17	    25.08	     3.18	    10.70	    10.57	  113.86
 17.2	 3.480e-02	    66.75	    27.22	     3.60	    11.14	     9.42	  118.22
 17.3	 3.487e-02	    65.64	    25.37	     3.47	    10.54	     9.07	  114.27
 17.4	 3.497e-02	    66.27	    26.26	     3.41	    11.68	     9.01	  116.79
 17.5	 3.507e-02	    65.00	    24.83	     3.47	    10.92	     8.98	  113.38
 17.6	 3.516e-02	    68.40	    25.94	     3.41	    11.36	     9.52	  118.70
 17.7	 3.526e-02	    63.98	    24.80	     3.18	    12.16	     9.45	  113.73
 17.8	 3.534e-02	    66.02	    25.88	     3.41	    11.20	     9.26	  115.90
 17.9	 3.543e-02	    65.73	    24.76	     4.04	    11.78	    10.19	  116.53
 18.0	 3.554e-02	    66.43	    22.57	     2.86	    11.20	     9.49	  112.62
 18.1	 3.561e-02	    68.72	    25.37	     3.15	    11.97	     8.37	  117.74
 18.2	 3.572e-02	    63.88	    22.85	     3.53	    10.60	     9.33	  110.36
 18.3	 3.580e-02	    65.38	    24.29	     3.95	    12.25	     9.45	  115.42
 18.4	 3.593e-02	    63.76	    25.08	     3.41	    12.76	     9.36	  114.37
 18.5	 3.605e-02	    69.33	    25.34	     3.79	    12.86	     9.14	  120.70
 18.6	 3.618e-02	    68.31	    26.13	     3.12	    11.24	     9.74	  118.60
 18.7	 3.630e-02	    66.72	    23.78	     2.99	    12.45	     9.39	  115.55
 18.8	 3.648e-02	    68.31	    25.97	     3.21	    13.05	     9.42	  120.00
 18.9	 3.665e-02	    67.32	    23.75	     4.23	    11.46	     8.66	  115.64
 19.0	 3.680e-02	    67.90	    24.45	     3.34	    12.70	     9.26	  117.77
 19.1	 3.698e-02	    63.47	    24.86	     3.25	    11.71	     9.10	  112.49
 19.2	 3.714e-02	    69.68	    24.86	     3.63	    11.68	     8.37	  118.35
 19.3	 3.726e-02	    69.84	    23.71	     3.60	    12.25	     9.04	  118.57
 19.4	 3.743e-02	    70.19	    23.46	     3.76	    12.64	     8.50	  118.67
 19.5	 3.758e-02	    69.90	    24.19	     2.86	    12.22	     9.99	  119.24
 19.6	 3.774e-02	    69.26	    23.78	     3.79	    14.32	     8.53	  119.81
 19.7	 3.789e-02	    67.80	    24.64	     2.61	    12.19	     8.31	  115.67
 19.8	 3.806e-02	    70.25	    24.89	     3.44	    12.13	     8.59	  119.40
 19.9	 3.824e-02	    69.55	    24.13	     3.92	    12.00	     9.14	  118.83
 20.0	 3.844e-02	    66.49	    25.08	     4.14	    11.78	     9.45	  117.01
 20.1	 3.862e-02	    68.37	    22.92	     3.31	    11.71	     9.04	  115.39
 20.2	 3.878e-02	    69.14	    25.21	     3.82	    12.06	     9.17	  119.43
 20.3	 3.897e-02	    69.93	    25.81	     3.09	    12.41	     8.98	  120.35
 20.4	 3.913e-02	    68.37	    24.83	     3.06	    11.55	     8.85	  116.72
 20.5	 3.927e-02	    70.66	    22.95	     3.82	    12.48	     8.66	  118.70
 20.6	 3.944e-02	    71.62	    24.41	     3.98	    11.94	     8.53	  120.51
 20.7	 3.965e-02	    71.75	    25.40	     3.76	    12.41	     8.91	  122.36
 20.8	 3.985e-02	    69.14	    22.98	     3.37	    11.05	     9.33	  115.93
 20.9	 4.007e-02	    71.27	    24.35	     3.02	    12.41	     7.48	  118.63
 21.0	 4.030e-02	    72.10	    23.75	     3.34	    12.03	     8.53	  119.84
 21.1	 4.055e-02	    72.26	    23.33	     3.12	    11.08	     7.80	  117.77
 21.2	 4.082e-02	    68.98	    24.41	     3.72	    11.94	     8.02	  117.14
 21.3	 4.109e-02	    70.82	    23.43	     3.28	    12.64	     8.09	  118.51
 21.4	 4.139e-02	    69.81	    23.84	     3.76	    11.94	     7.83	  117.27
 21.5	 4.168e-02	    72.73	    22.15	     3.09	    11.90	     8.18	  118.32
 21.6	 4.199e-02	    73.08	    21.96	     3.50	    12.61	     7.13	  118.38
 21.7	 4.229e-02	    73.21	    23.81	     3.60	    10.60	     8.18	  119.56
 21.8	 4.261e-02	    74.13	    22.92	     3.28	    12.86	     9.07	  122.45
 21.9	 4.296e-02	    69.52	    23.59	     3.82	    12.29	     8.47	  117.87
 22.0	 4.332e-02	    74.93	    22.31	     4.04	    13.62	     7.99	  123.03
 22.1	 4.370e-02	    75.73	    23.30	     3.82	    13.53	     7.58	  124.08
 22.2	 4.412e-02	    74.52	    22.66	     3.37	    12.41	     7.61	  120.67
 22.3	 4.455e-02	    78.34	    23.36	     3.76	    13.21	     8.85	  127.58
 22.4	 4.497e-02	    76.81	    20.56	     4.20	    13.69	     7.93	  123.28
 22.5	 4.542e-02	    77.70	    21.29	     4.04	    12.03	     7.96	  123.12
 22.6	 4.591e-02	    79.39	    23.05	     3.88	    13.27	     7.99	  127.77
 22.7	 4.643e-02	    77.67	    21.77	     3.88	    13.75	     6.72	  123.85
 22.8	 4.696e-02	    80.47	    21.58	     3.69	    12.35	     8.37	  126.62
 22.9	 4.751e-02	    82.03	    21.80	     4.93	    15.15	     7.07	  131.14
 23.0	 4.810e-02	    82.89	    20.31	     4.23	    13.62	     7.38	  128.53
 23.1	 4.873e-02	    86.13	    20.98	     4.65	    14.83	     7.03	  133.72
 23.2	 4.940e-02	    83.02	    20.18	     4.07	    13.24	     7.42	  128.09
 23.3	 5.010e-02	    87.47	    19.83	     3.98	    12.29	     7.29	  130.95
 23.4	 5.085e-02	    89.86	    18.81	     4.39	    13.66	     6.30	  133.18
 23.5	 5.164e-02	    87.41	    17.03	     4.58	    15.25	     6.88	  131.18
 23.6	 5.249e-02	    95.17	    17.83	     5.44	    13.21	     5.70	  137.48
 23.7	 5.340e-02	    97.18	    17.19	     4.30	    15.82	     5.57	  140.15
 23.8	 5.439e-02	    95.88	    16.93	     5.00	    12.86	     5.51	  136.27
 23.9	 5.545e-02	    98.96	    16.23	     5.38	    13.85	     5.54	  140.09
 24.0	 5.662e-02	   100.55	    13.94	     4.49	    14.55	     4.81	  138.43
